,compound,date,negative,positive,source,text,tweets ago
114,-0.2263,Sun Sep 23 23:24:03 +0000 2018,0.087,0.0,@CBS,"Due to #NFL football game overrun, #CBS Sunday lineup is delayed in ATL, Indy, NOLA, Kansas City, NYC, Philly, Prov… https://t.co/fejqoxtvSY",15
115,0.0,Sun Sep 23 14:00:00 +0000 2018,0.0,0.0,@CBS,Kick off your Sunday with @NFL on CBS. Catch your local games live on CBS and @CBSAllAccess. 🏈📺… https://t.co/kbo7N27mY9,16
116,0.296,Fri Sep 21 19:18:00 +0000 2018,0.098,0.144,@CBS,"How does $100,000 sound? Because someone is going to win all that tonight on the @TKOCBS Battle Royale finale at 9p… https://t.co/JEuUZ2QlQh",17
117,-0.1531,Fri Sep 21 17:46:26 +0000 2018,0.162,0.123,@CBS,@colbertlateshow @IainLoveTheatre @IainLoveTheatre made a compelling argument. We'll get back to you. 😉,18
118,0.296,Thu Sep 20 23:17:19 +0000 2018,0.0,0.109,@CBS,"Now that @bigbangtheory is entering its last season, Kaley Cuoco admits to @latelateshow she's over the show's noto… https://t.co/xvhlMWBhSX",19
119,0.7896,Thu Sep 20 21:38:21 +0000 2018,0.0,0.212,@CBS,RT @HawaiiFive0CBS: It’s the big Five-0! 🎉 🌊 #H50 premiered on this day in 1968! Celebrate 50 years of Hawaii Five-0 with every season of b…,20
120,0.0,Thu Sep 20 16:47:26 +0000 2018,0.0,0.0,@CBS,RT @JordanPeele: 📺🌀 https://t.co/CygbVi4JFC,21
121,-0.0531,Wed Sep 19 19:07:37 +0000 2018,0.236,0.176,@CBS,The @latelateshow and @JKCorden will never be good enough for @henrygolding's crazy rich mom.… https://t.co/xVmH5Iyfvs,22
122,0.6486,Tue Sep 18 17:04:20 +0000 2018,0.0,0.209,@CBS,RT @CBSThisMorning: Imagine receiving a digital friend request from someone claiming to be God. What would you do? The new @CBS drama @GodF…,23
123,0.9642,Mon Sep 17 22:01:52 +0000 2018,0.0,0.527,@CBS,"RT @PriceIsRight: We're thrilled to be back with all new, fun, and exciting shows!!  We hope to give you another award winning season! HERE…",24
124,0.0,Mon Sep 17 21:41:20 +0000 2018,0.0,0.0,@CBS,RT @SalvationCBS: X marks the spot on the heart-stopping season finale of #SalvationCBS tonight at 9/8c on CBS &amp; CBS All Access: https://t.…,25
125,0.3612,Mon Sep 17 19:18:37 +0000 2018,0.0,0.263,@CBS,Waiting for tonight's @Elementary_CBS season finale like https://t.co/Ou8342vGT9,26
126,-0.2263,Sun Sep 16 23:48:59 +0000 2018,0.091,0.0,@CBS,"Due to an NFL overrun, the CBS Sunday lineup is delayed in the East/Central cities ONLY. New start times:… https://t.co/IypoJ0l16P",27
127,0.0,Sun Sep 16 14:33:46 +0000 2018,0.0,0.0,@CBS,RT @CBSAllAccess: Sundays were made for NFL on CBS. 🏈💯 Stream NFL on CBS All Access live today: https://t.co/vsod8jGE7N https://t.co/co2528…,28
128,-0.4322,Sat Sep 15 16:00:01 +0000 2018,0.159,0.07,@CBS,"What happens when a PTA mom steals nearly $100,000 from her daughter's school? Don't miss the #PinkCollarCrimes sea… https://t.co/Gjiy0pByaE",29
129,-0.2481,Fri Sep 14 18:22:59 +0000 2018,0.233,0.17,@CBS,"RT @CBSAllAccess: No internet, no problem. You can now download and play your favorite shows on CBS All Access! 🙌 Learn how: https://t.co/y…",30
130,0.0,Thu Sep 13 20:52:06 +0000 2018,0.0,0.0,@CBS,@PlaggemeyLee Mac's putting something together. 😉 https://t.co/6ww5HlV6Bx,31
131,0.0,Thu Sep 13 20:28:06 +0000 2018,0.0,0.0,@CBS,This just in... https://t.co/QG3OYF6Rfv,32
132,0.4753,Thu Sep 13 18:06:49 +0000 2018,0.083,0.218,@CBS,RT @CBSAllAccess: Get excited! Stream original #MurphyBrown episodes for a limited time on CBS All Access before the @MurphyBrownCBS reviva…,33
